,,MXWD,MXEF,MXWO,IBOV,VIX,TIPS
Th,18/09/2025,,,,,,
We,17/09/2025,976.38,1347.85,4264.86,145.594k,15.72,374.0104
Tu,16/09/2025,976.77,1339.91,4269.83,144.062k,16.36,374.2514
Mo,15/09/2025,976.6,1328.79,4273.27,143.547k,15.69,373.9531
,,,,,,,
Fr,12/09/2025,972.15,1325.73,4252.63,142.272k,14.76,373.4908
Th,11/09/2025,971.45,1310.08,4255.23,143.151k,14.71,374.0015
We,10/09/2025,964.8,1307.49,4223.67,142.349k,15.35,373.4416
Tu,09/09/2025,961.7,1295.38,4213.11,141.618k,15.04,372.9881
Mo,08/09/2025,958.88,1282.2,4204.41,141.792k,15.11,373.5667
,,,,,,,
Fr,05/09/2025,955.71,1276.05,4191.23,142.64k,15.18,372.6869
Th,04/09/2025,954.14,1261.56,4189.1,140.993k,15.3,371.1894
We,03/09/2025,948.4,1267,4158.88,139.864k,16.35,370.5406
Tu,02/09/2025,945.1,1265.44,4143.34,140.335k,17.17,369.6822
Mo,01/09/2025,952.11,1266.58,4177.24,141.283k,16.12,370.4554
,,,,,,,
Fr,29/08/2025,951.57,1258.44,4177.72,141.422k,15.36,370.4554
Th,28/08/2025,956.34,1261.26,4199.99,141.049k,14.43,370.8607
We,27/08/2025,953.04,1269.11,4180.83,139.206k,14.85,370.5433
Tu,26/08/2025,952.72,1274.21,4177.26,137.771k,14.62,369.9023
Mo,25/08/2025,952.96,1285.46,4174.13,138.025k,14.79,368.991
,,,,,,,
Fr,22/08/2025,955.29,1266.55,4192.8,137.968k,14.22,369.3554
Th,21/08/2025,942.51,1261.74,4132.08,134.511k,16.6,367.0349
We,20/08/2025,945.79,1259.88,4148.83,134.666k,15.69,367.0848
Tu,19/08/2025,947.9,1270.73,4155.02,134.432k,15.57,366.6059
Mo,18/08/2025,951.29,1273.09,4170.72,137.322k,14.99,366.2979
,,,,,,,
Fr,15/08/2025,952.02,1272.43,4174.56,136.341k,15.09,366.5002
Th,14/08/2025,951.91,1271.97,4174.17,136.356k,14.83,367.4479
We,13/08/2025,953.08,1276.97,4177.97,136.687k,14.49,368.2623
Tu,12/08/2025,947.14,1257.27,4156.48,137.914k,14.73,367.0841
Mo,11/08/2025,938.16,1255.65,4113.11,135.623k,16.25,367.6872
,,,,,,,
Fr,08/08/2025,940.51,1253.79,4125.3,135.913k,15.15,367.4509
Th,07/08/2025,935.47,1260.46,4098.08,136.528k,16.57,367.7542
We,06/08/2025,933.23,1244.43,4093.26,134.538k,16.77,367.4319
Tu,05/08/2025,927.24,1246.1,4063.3,133.151k,17.85,367.8809
Mo,04/08/2025,928.45,1237.05,4072.66,132.971k,17.52,368.1096
,,,,,,,
Fr,01/08/2025,917.39,1226.18,4022.69,132.437k,20.38,367.0464
Th,31/07/2025,929.62,1243.23,4076.04,133.071k,16.72,364.8436
We,30/07/2025,934.33,1252.47,4095.58,133.99k,15.48,365.3769
Tu,29/07/2025,935.8,1252.31,4102.8,132.726k,15.98,366.4486
Mo,28/07/2025,939.37,1255.44,4119.12,132.129k,15.03,364.649
,,,,,,,
Fr,25/07/2025,941.26,1257.78,4127.47,133.524k,14.93,364.954
Th,24/07/2025,941.35,1267.29,4124.25,133.808k,15.39,364.8545
We,23/07/2025,939.34,1265.16,4115.24,135.368k,15.37,364.3404
Tu,22/07/2025,929.78,1248.05,4074.99,134.036k,16.5,365.8325
Mo,21/07/2025,929.63,1253.46,4072.14,134.167k,16.65,365.4547
,,,,,,,
Fr,18/07/2025,927.99,1249.38,4065.68,133.382k,16.41,364.4808
Th,17/07/2025,926.29,1241.25,4060.51,135.565k,16.52,364.2131
We,16/07/2025,921.11,1239.53,4035.77,135.511k,17.16,363.8545
Tu,15/07/2025,920.25,1240.45,4031.2,135.25k,17.38,362.6587
Mo,14/07/2025,923.46,1228.59,4051.5,135.299k,17.2,363.5537
,,,,,,,
Fr,11/07/2025,922.56,1229.13,4046.84,136.187k,16.4,363.3035
Th,10/07/2025,926.22,1231.26,4063.96,136.743k,15.78,363.9852
We,09/07/2025,924.3,1227.87,4055.89,137.481k,15.94,363.9148
Tu,08/07/2025,919.31,1231.54,4030.01,139.303k,16.81,362.7745
Mo,07/07/2025,919.93,1226.19,4035.12,139.49k,17.79,363.0794
,,,,,,,
Fr,04/07/2025,925.73,1231.63,4061.43,141.264k,17.48,363.3016
Th,03/07/2025,926.48,1236.97,4063.04,140.928k,16.38,363.3016
We,02/07/2025,920.48,1230.24,4036.25,139.051k,16.64,364.0335
Tu,01/07/2025,917.4,1229.25,4021.57,139.549k,16.83,364.3246
Mo,30/06/2025,917.89,1222.78,4026.44,138.855k,16.73,364.3984
,,,,,,,
Fr,27/06/2025,914.79,1228.53,4009.04,136.866k,16.32,363.4475
Th,26/06/2025,909.65,1226.95,3984.5,137.114k,16.59,363.9974
We,25/06/2025,902.15,1220.72,3950.11,135.767k,16.76,362.9849
Tu,24/06/2025,903.03,1211.84,3957.83,137.165k,17.48,362.6221
Mo,23/06/2025,890.1,1182.25,3905.86,136.551k,19.83,362.1491
,,,,,,,
Fr,20/06/2025,885.76,1189.85,3881.69,137.116k,20.62,361.8562
Th,19/06/2025,885.88,1177.31,3887.09,,22.17,361.1924
We,18/06/2025,889.67,1193.45,3899.46,138.717k,20.14,361.1924
Tu,17/06/2025,890.42,1196.96,3901.81,138.84k,21.6,360.9519
Mo,16/06/2025,897.51,1198.18,3936.03,139.256k,19.11,359.131
,,,,,,,
Fr,13/06/2025,889.69,1190.03,3900.9,137.213k,20.82,359.587
Th,12/06/2025,899.61,1202.74,3944.58,137.80k,18.02,360.2005
We,11/06/2025,896.99,1208.98,3929.36,137.128k,17.26,359.2596
Tu,10/06/2025,897.51,1201.13,3934.94,136.436k,16.95,358.6302
Mo,09/06/2025,893.72,1193.78,3919.17,135.699k,17.16,358.4115
,,,,,,,
Fr,06/06/2025,891.96,1182.93,3914.72,136.102k,16.77,357.9176
Th,05/06/2025,886.83,1182.68,3889.67,136.236k,18.48,359.9413
We,04/06/2025,888.93,1172.45,3903.91,137.002k,17.61,360.7989
Tu,03/06/2025,885.9,1158.13,3894.53,137.546k,17.69,359.3746
Mo,02/06/2025,882.88,1153.77,3881.41,136.787k,18.36,359.8371
,,,,,,,
Fr,30/05/2025,879.5,1157.34,3863.48,137.027k,18.57,360.9533
Th,29/05/2025,880.26,1170.16,3862.34,138.534k,19.18,359.6968
We,28/05/2025,876.37,1163.84,3845.7,138.888k,19.31,358.7925
Tu,27/05/2025,881.16,1164.1,3869.06,139.541k,18.96,359.5883
Mo,26/05/2025,870.35,1170.13,3813.89,138.136k,20.57,358.223
,,,,,,,
Fr,23/05/2025,868.15,1170.98,3802.77,137.824k,22.29,358.223
Th,22/05/2025,871.01,1165.38,3818.9,137.273k,20.28,358.0479
We,21/05/2025,873.95,1174.56,3829.82,137.881k,20.87,357.1557
Tu,20/05/2025,881.62,1167.46,3870.03,140.11k,18.09,359.0341
Mo,19/05/2025,882.39,1166.64,3874.12,139.636k,18.14,359.5774
,,,,,,,
Fr,16/05/2025,880.62,1172.38,3863.29,139.187k,17.24,359.3564
Th,15/05/2025,876.4,1173.53,3842.19,139.334k,17.83,358.9399
We,14/05/2025,874.06,1173.65,3830.71,138.423k,18.62,358.084
Tu,13/05/2025,871.2,1156.82,3823.07,138.963k,18.22,358.2396
Mo,12/05/2025,865.58,1161.85,3793.7,136.563k,18.39,357.4936
,,,,,,,
Fr,09/05/2025,847,1138.4,3711.68,136.512k,21.9,360.0946
Th,08/05/2025,845.85,1133.58,3707.89,136.232k,22.48,359.6847
We,07/05/2025,844.03,1137.41,3697.54,133.398k,23.55,361.0053
Tu,06/05/2025,841.91,1137.42,3687.16,133.516k,24.76,360.8258
Mo,05/05/2025,846.21,1139.59,3707.38,133.491k,23.64,359.7892
,,,,,,,
Fr,02/05/2025,849.25,1133.27,3724.62,135.134k,22.68,360.0119
Th,01/05/2025,835.15,1111.97,3663.74,,24.6,361.9765
We,30/04/2025,833.54,1112.84,3655.52,135.067k,24.7,363.087
Tu,29/04/2025,831.31,1105.99,3647.21,135.093k,24.17,362.7251
Mo,28/04/2025,827.21,1102.57,3628.48,135.016k,25.15,362.171
,,,,,,,
Fr,25/04/2025,824.74,1097.1,3618.48,134.739k,24.84,360.8095
Th,24/04/2025,819.86,1092.98,3596.16,134.58k,26.47,360.6655
We,23/04/2025,808.21,1096.05,3537.97,132.216k,28.45,358.7184
Tu,22/04/2025,796.26,1073.79,3487.99,130.464k,30.57,357.7181
Mo,21/04/2025,783.11,1071.95,3424.33,,33.82,356.3786
,,,,,,,
Fr,18/04/2025,793.42,1068.59,3476.06,,,358.0831
Th,17/04/2025,792.9,1067.07,3474.06,129.65k,29.65,358.0831
We,16/04/2025,791.13,1059.1,3468.47,128.317k,32.64,357.3413
Tu,15/04/2025,803.1,1070.26,3522.8,129.245k,30.12,356.4095
Mo,14/04/2025,800.56,1060.22,3514.16,129.454k,30.89,356.7007
,,,,,,,
Fr,11/04/2025,790.63,1045.2,3471.27,127.682k,37.56,354.6665
Th,10/04/2025,779.27,1028.86,3421.91,126.355k,40.72,354.8083
We,09/04/2025,785.28,993.45,3464.76,127.796k,33.62,359.0512
Tu,08/04/2025,742.96,1002.6,3254.24,123.932k,52.33,358.5396
Mo,07/04/2025,745.48,1001.49,3267,125.588k,46.98,359.6456
,,,,,,,
Fr,04/04/2025,764.29,1087.59,3326.28,127.256k,45.31,363.6531
Th,03/04/2025,807.64,1102.78,3532.64,131.141k,30.02,364.6388
We,02/04/2025,836.11,1111.68,3668.53,131.19k,21.51,362.2988
Tu,01/04/2025,832.15,1110.66,3649.56,131.147k,21.77,362.7989
Mo,31/03/2025,827.15,1101.4,3628.64,130.26k,22.28,362.6558
,,,,,,,
Fr,28/03/2025,829.89,1120.72,3634.71,131.902k,21.65,361.1032
Th,27/03/2025,843.22,1130.54,3696.16,133.149k,18.69,359.4452
We,26/03/2025,845.96,1131.54,3709.19,132.52k,18.33,358.7733
Tu,25/03/2025,853.49,1129.41,3746.87,132.068k,17.15,359.0961
Mo,24/03/2025,851.73,1136.01,3735.73,131.321k,17.48,358.468
,,,,,,,
Fr,21/03/2025,841.99,1131.38,3689.85,132.345k,19.28,359.3936
Th,20/03/2025,843.47,1140.69,3693.55,131.955k,19.8,359.9315
We,19/03/2025,845.37,1143.29,3701.86,132.508k,19.9,359.3264
Tu,18/03/2025,839.53,1145.17,3672.57,131.475k,21.7,357.6505
Mo,17/03/2025,843.5,1131.44,3697.21,130.834k,20.51,357.279
,,,,,,,
Fr,14/03/2025,836.14,1119.61,3665.71,128.957k,21.77,357.005
Th,13/03/2025,821.59,1106.07,3599.67,125.637k,24.66,358.0841
We,12/03/2025,830.85,1111.13,3643.01,123.864k,24.23,357.5943
Tu,11/03/2025,826.64,1109.16,3623.17,123.507k,26.92,358.0495
Mo,10/03/2025,832.73,1113.06,3651.48,124.519k,27.86,358.9375
,,,,,,,
Fr,07/03/2025,852.1,1128.55,3740.37,125.035k,23.37,357.1975
Th,06/03/2025,850.38,1131.26,3730.93,123.358k,24.87,357.7724
We,05/03/2025,858.71,1115.55,3777.64,123.047k,21.93,357.9924
Tu,04/03/2025,846.14,1093,3724.69,,23.51,359.9056
Mo,03/03/2025,855.81,1097.37,3770.34,,22.78,361.1307
,,,,,,,
Fr,28/02/2025,862.95,1097.25,3805.33,122.799k,19.63,360.3455
Th,27/02/2025,857.26,1124.03,3767.35,124.799k,21.13,357.7992
We,26/02/2025,869.11,1135.41,3821.04,124.769k,19.1,358.1563
Tu,25/02/2025,866.74,1122.38,3814.35,125.98k,19.43,357.7619
Mo,24/02/2025,870.6,1135.74,3828.18,125.401k,18.98,356.3378
,,,,,,,
Fr,21/02/2025,874.54,1147.3,3843.08,127.128k,18.21,355.5132
Th,20/02/2025,883.73,1132.45,3893.65,127.601k,15.66,354.7694
We,19/02/2025,886.77,1136.87,3906.82,127.309k,15.27,354.048
Tu,18/02/2025,887.72,1138.92,3910.71,128.532k,15.35,353.445
Mo,17/02/2025,885.32,1130.61,3902.14,128.552k,15.37,354.5386
,,,,,,,
Fr,14/02/2025,884.24,1125.23,3898.87,128.219k,14.77,354.5386
Th,13/02/2025,882.37,1113.25,3894.24,124.85k,15.1,353.7207
We,12/02/2025,872.78,1111.01,3848.18,124.38k,15.89,351.9818
Tu,11/02/2025,873.67,1104.63,3854.96,126.522k,16.02,353.9769
Mo,10/02/2025,873.79,1108.46,3854.09,125.572k,15.81,354.0966
,,,,,,,
Fr,07/02/2025,869.44,1108.48,3832.82,124.619k,16.54,353.9639
Th,06/02/2025,875.34,1102.25,3864.03,126.225k,15.5,354.8834
We,05/02/2025,871.69,1095.79,3848.65,125.534k,15.77,355.4544
Tu,04/02/2025,866.92,1092.93,3826.36,125.147k,17.21,353.9292
Mo,03/02/2025,859.33,1073.72,3796.53,125.97k,18.62,353.5538
,,,,,,,
Fr,31/01/2025,869.04,1093.37,3836.58,126.135k,16.43,352.6564
Th,30/01/2025,872.68,1095.75,3853.49,126.913k,15.84,352.2062
We,29/01/2025,867.3,1092.31,3828.45,123.432k,16.56,351.9051
Tu,28/01/2025,868.64,1089.13,3836.25,124.056k,16.41,352.3188
Mo,27/01/2025,863.83,1087.54,3813.33,124.862k,17.9,352.1153
,,,,,,,
Fr,24/01/2025,872.91,1090.02,3856.78,122.447k,14.85,350.642
Th,23/01/2025,872.11,1081.34,3856.17,122.483k,15.02,349.945
We,22/01/2025,868.51,1082.34,3838.19,122.972k,15.1,349.6345
Tu,21/01/2025,864.14,1081.11,3817.28,123.338k,15.06,350.0608
Mo,20/01/2025,858.19,1080.5,3788.38,122.855k,15.81,349.7429
,,,,,,,
Fr,17/01/2025,855.23,1070.12,3777.85,122.35k,15.97,349.7429
Th,16/01/2025,848.63,1066.67,3746.86,121.234k,16.6,349.7849
We,15/01/2025,847.3,1055.8,3744.47,122.65k,16.12,349.1877
Tu,14/01/2025,834.41,1053.05,3682.46,119.299k,18.71,346.8026
Mo,13/01/2025,831.79,1039.11,3674.92,119.007k,19.19,346.7224
,,,,,,,
Fr,10/01/2025,833.86,1057.1,3678.22,118.856k,19.54,346.5793
Th,09/01/2025,845.6,1066.47,3732.14,119.781k,18.07,347.487
We,08/01/2025,845.95,1070.79,3732.2,119.625k,17.7,347.8957
Tu,07/01/2025,846.94,1080.07,3733.55,121.163k,17.82,347.0918
Mo,06/01/2025,852.9,1078.89,3763.15,120.022k,16.04,347.4876
,,,,,,,
Fr,03/01/2025,847.22,1073.21,3737.5,118.533k,16.13,347.5731
Th,02/01/2025,839.93,1071,3702.68,120.125k,17.93,348.3031
We,01/01/2025,841.42,1076.52,3707.88,,,
Tu,31/12/2024,841.33,1075.48,3707.84,,17.35,348.1539
Mo,30/12/2024,843.83,1078.4,3718.94,120.283k,17.4,348.1783
,,,,,,,
Fr,27/12/2024,851.62,1082.87,3755.36,120.269k,15.95,347.1433
Th,26/12/2024,856.53,1084.69,3778.7,121.078k,14.73,348.0254
We,25/12/2024,856.59,1085.86,3778.53,,,347.9534
Tu,24/12/2024,856.39,1084.99,3777.89,,14.27,347.9534
Mo,23/12/2024,849.46,1081.95,3745.13,120.767k,16.78,347.2964
,,,,,,,
Fr,20/12/2024,844.23,1072.25,3723.22,122.102k,18.36,347.7411
Th,19/12/2024,839.41,1081.76,3696.05,121.188k,24.09,347.0733
We,18/12/2024,845.44,1095.31,3720.41,120.772k,27.62,348.4637
Tu,17/12/2024,864.02,1093.2,3812.07,124.698k,15.87,350.6637
Mo,16/12/2024,867.84,1103.21,3826.99,123.56k,14.69,350.8535
,,,,,,,
Fr,13/12/2024,866.14,1107.01,3817.24,124.612k,13.81,351.1811
Th,12/12/2024,868.41,1112.94,3826.08,126.042k,13.92,352.2486
We,11/12/2024,871.39,1108.43,3842.39,129.593k,13.58,353.3089
Tu,10/12/2024,866.41,1111.71,3816.76,128.228k,14.18,353.7792
Mo,09/12/2024,870.85,1114.04,3837.63,127.21k,14.19,353.9364
,,,,,,,
Fr,06/12/2024,873.73,1105.08,3855.07,125.946k,12.77,354.5267
Th,05/12/2024,872.16,1102.29,3848.48,127.858k,13.54,354.3064
We,04/12/2024,872.28,1100.49,3849.72,126.087k,13.45,354.7479
Tu,03/12/2024,868.04,1097.52,3830.12,126.139k,13.3,353.6614
Mo,02/12/2024,864.64,1086.39,3817.72,125.236k,13.34,353.6075
,,,,,,,
Fr,29/11/2024,862.49,1078.57,3810.14,125.668k,13.51,353.7476
Th,28/11/2024,858.31,1079.65,3789.28,124.61k,13.9,352.627
We,27/11/2024,858.26,1087.58,3786.04,127.669k,14.1,352.627
Tu,26/11/2024,859.08,1086.93,3790.31,129.922k,14.1,351.6467
Mo,25/11/2024,857.75,1092.2,3781.79,129.036k,14.6,352.4158
,,,,,,,
Fr,22/11/2024,854.13,1087.27,3765.96,129.126k,15.24,350.4064
Th,21/11/2024,851.44,1085.49,3753.51,126.922k,16.87,350.2457
We,20/11/2024,847.84,1093.85,3732.77,,17.16,350.6916
Tu,19/11/2024,849.19,1094.94,3738.95,128.197k,16.35,350.858
Mo,18/11/2024,845.6,1089.72,3723.36,127.768k,15.58,350.256
,,,,,,,
Fr,15/11/2024,842.61,1085,3710.5,,16.14,349.4321
Th,14/11/2024,851.2,1084.41,3752.7,127.792k,14.31,349.4541
We,13/11/2024,854.85,1093.7,3767.05,127.734k,14.02,349.4765
Tu,12/11/2024,856.84,1103.19,3773.23,127.698k,14.71,350.1475
Mo,11/11/2024,863.1,1125.89,3795.3,127.874k,14.97,352.9614
,,,,,,,
Fr,08/11/2024,863.02,1135.65,3791.23,127.83k,14.94,352.9614
Th,07/11/2024,862.59,1140.54,3787.27,129.682k,15.2,352.0248
We,06/11/2024,854.74,1131.87,3752.15,130.341k,16.27,350.8234
Tu,05/11/2024,843.18,1139.11,3692.96,130.661k,20.49,351.3538
Mo,04/11/2024,834.94,1129.82,3656.14,130.515k,21.98,351.028
,,,,,,,
Fr,01/11/2024,835.15,1122.28,3660.03,128.121k,21.88,350.3274
Th,31/10/2024,832.3,1119.52,3647.14,129.713k,23.16,352.0415
We,30/10/2024,844.94,1126.51,3706.29,130.639k,20.35,352.3637
Tu,29/10/2024,848.08,1136.47,3717.86,130.73k,19.34,351.6404
Mo,28/10/2024,847.93,1137.94,3716.61,131.213k,19.8,351.1655
,,,,,,,
Fr,25/10/2024,845.49,1134.88,3705.81,129.893k,20.33,351.7357
Th,24/10/2024,845.74,1134.52,3707.18,130.067k,19.08,352.7134
We,23/10/2024,844.34,1141.81,3697.6,129.233k,19.24,352.3147
Tu,22/10/2024,851.27,1142.19,3731.32,129.951k,18.2,353.3407
Mo,21/10/2024,853.58,1148.42,3740.27,130.362k,18.37,352.8535
,,,,,,,
Fr,18/10/2024,856.71,1155.12,3753.04,130.499k,18.03,355.2531
Th,17/10/2024,852.07,1135.13,3737.87,130.793k,19.11,354.8271
We,16/10/2024,852.22,1144.04,3735.29,131.75k,19.58,355.8456
Tu,15/10/2024,851.25,1149.73,3728.4,131.043k,20.64,355.6387
Mo,14/10/2024,857.18,1160.06,3753.49,131.005k,19.7,355.5261
,,,,,,,
Fr,11/10/2024,852.73,1159.56,3731.93,129.992k,20.46,355.5261
Th,10/10/2024,848.19,1156.96,3710.71,130.353k,20.93,355.6787
We,09/10/2024,848.64,1148.27,3716.17,129.962k,20.86,354.9657
Tu,08/10/2024,844.78,1156.23,3694.3,131.512k,21.42,355.6261
Mo,07/10/2024,843.72,1183.78,3678.75,132.018k,22.64,355.0354
,,,,,,,
Fr,04/10/2024,847.4,1179.34,3698.41,131.792k,19.21,355.3488
Th,03/10/2024,842.3,1173.02,3675.89,131.672k,20.49,357.8484
We,02/10/2024,845.51,1187.97,3685.92,133.515k,18.9,359.3529
Tu,01/10/2024,845.87,1172.59,3693.5,132.495k,19.26,359.7449
Mo,30/09/2024,851.78,1170.85,3723.03,131.816k,16.73,358.4726
,,,,,,,
Fr,27/09/2024,852.84,1174.52,3726.8,132.73k,16.96,358.7544
Th,26/09/2024,850.69,1163.38,3720.51,133.01k,15.37,357.8744
We,25/09/2024,843.61,1136.8,3695.89,131.586k,15.41,358.2903
Tu,24/09/2024,844.56,1132.04,3702.33,132.156k,15.39,359.6127
Mo,23/09/2024,840.05,1110.66,3688.33,130.568k,15.89,358.7348
,,,,,,,
Fr,20/09/2024,837.37,1106.44,3676.84,131.065k,16.15,358.7022
Th,19/09/2024,839.49,1100.15,3689.52,133.123k,16.33,359.2279
We,18/09/2024,826.29,1087.75,3629.69,133.748k,18.23,358.1468
Tu,17/09/2024,828.72,1090.51,3640.5,134.96k,17.61,359.493
Mo,16/09/2024,828.42,1086.02,3640.73,135.118k,17.14,359.6339
,,,,,,,
Fr,13/09/2024,826.93,1082.3,3634.86,134.882k,16.56,358.3484
Th,12/09/2024,821.59,1075.62,3611.3,134.029k,17.07,357.1293
We,11/09/2024,813.61,1058.69,3578.65,134.677k,17.69,357.1317
Tu,10/09/2024,808.49,1062.88,3552.03,134.32k,19.08,356.8705
Mo,09/09/2024,807.38,1063.44,3546.4,134.737k,19.45,356.0511
,,,,,,,
Fr,06/09/2024,802.57,1074.89,3518.58,134.572k,22.38,355.2643
Th,05/09/2024,812.67,1076.09,3567.49,136.502k,19.9,355.0756
We,04/09/2024,815.05,1073.59,3580.06,136.111k,21.32,354.8028
Tu,03/09/2024,819.47,1090.17,3595.44,134.353k,20.72,353.9928
Mo,02/09/2024,833.04,1096.34,3659.44,134.906k,15.55,353.1709
,,,,,,,
Fr,30/08/2024,833.68,1099.92,3661.24,136.004k,15,353.1709
Th,29/08/2024,827.34,1094.96,3632.16,136.041k,15.65,354.3427
We,28/08/2024,827.32,1097.22,3631.2,137.344k,17.11,354.8196
Tu,27/08/2024,830.81,1099.77,3647.3,136.776k,15.43,354.8258
Mo,26/08/2024,830.03,1104.28,3641.81,136.889k,16.15,354.8101
,,,,,,,
Fr,23/08/2024,831.34,1100.68,3649.56,135.608k,15.86,354.6867
Th,22/08/2024,822.77,1100.98,3607.63,135.173k,17.55,352.8091
We,21/08/2024,827.49,1100.89,3630.66,136.464k,16.27,353.902
Tu,20/08/2024,824.7,1104.45,3615.77,136.087k,15.88,353.1749
Mo,19/08/2024,825.17,1103.53,3618.41,135.778k,14.65,351.7949
,,,,,,,
Fr,16/08/2024,817.41,1093.65,3584.19,133.953k,14.8,351.4819
Th,15/08/2024,812.78,1076,3568.1,134.153k,15.23,351.614
We,14/08/2024,803.46,1076.57,3522.42,133.318k,16.19,352.3747
Tu,13/08/2024,798.83,1071.01,3501.91,132.398k,18.12,352.5558
Mo,12/08/2024,787.3,1069.11,3446.33,131.116k,20.71,351.8796
,,,,,,,
Fr,09/08/2024,787.16,1063.43,3447.75,130.615k,20.37,350.8462
Th,08/08/2024,781.77,1046.31,3427.78,128.661k,23.79,350.0025
We,07/08/2024,770.7,1050.3,3372.32,127.514k,27.85,350.425
Tu,06/08/2024,770.99,1030.86,3380.91,126.267k,27.71,351.397
Mo,05/08/2024,762.08,1016.48,3342.73,125.27k,38.57,353.3901
,,,,,,,
Fr,02/08/2024,787.21,1061.23,3448.8,125.854k,23.39,352.4842
Th,01/08/2024,803.4,1087.8,3518.01,127.395k,18.59,350.7732
We,31/07/2024,814.16,1084.77,3571.58,127.652k,16.36,350.422
Tu,30/07/2024,801.43,1071.6,3514.37,126.139k,17.69,348.4103
Mo,29/07/2024,804.35,1077.27,3526.51,126.954k,16.6,348.1859
,,,,,,,
Fr,26/07/2024,803.48,1072.28,3524.08,127.492k,16.39,347.6534
Th,25/07/2024,796.78,1073.98,3490.82,125.954k,18.46,346.7011
We,24/07/2024,802.58,1082.44,3515.97,126.423k,18.04,345.8966
Tu,23/07/2024,816.23,1086.96,3580.87,126.59k,14.72,346.8504
Mo,22/07/2024,816.89,1085.48,3584.66,127.86k,14.91,346.988
,,,,,,,
Fr,19/07/2024,810.87,1089.61,3553.76,127.616k,16.52,347.4209
Th,18/07/2024,817.45,1105.95,3579.84,127.652k,15.93,348.3268
We,17/07/2024,823.59,1111.46,3607.74,129.45k,14.48,349.1662
Tu,16/07/2024,831.25,1117.38,3642.95,129.11k,13.19,348.9415
Mo,15/07/2024,828.73,1120.27,3629.58,129.321k,13.12,347.8576
,,,,,,,
Fr,12/07/2024,828.56,1123.56,3627.52,128.897k,12.46,347.9707
Th,11/07/2024,824.27,1124.86,3606.15,128.294k,12.92,347.4971
We,10/07/2024,824.77,1111.22,3613.62,127.218k,12.85,346.5105
Tu,09/07/2024,817.78,1111.7,3579.33,127.108k,12.51,345.9531
Mo,08/07/2024,818.14,1107.3,3582.7,126.548k,12.37,346.4257
,,,,,,,
Fr,05/07/2024,817.59,1104.88,3580.9,126.267k,12.48,346.4383
Th,04/07/2024,815.17,1104.18,3569.36,126.164k,12.26,344.9392
We,03/07/2024,812.81,1092.38,3562.23,125.662k,12.09,344.9392
Tu,02/07/2024,806.79,1079.78,3537.51,124.787k,12.03,343.6214
Mo,01/07/2024,803.79,1087.38,3520.04,124.718k,12.22,342.9505
,,,,,,,
Fr,28/06/2024,802.01,1086.25,3511.78,123.907k,12.44,344.2816
Th,27/06/2024,803.75,1081.87,3521.9,124.308k,12.24,345.4403
We,26/06/2024,803.73,1086.2,3520.21,122.641k,12.55,344.6939
Tu,25/06/2024,803.77,1085.32,3520.73,122.331k,12.84,345.6821
Mo,24/06/2024,801.28,1084.32,3508.95,122.637k,13.33,345.308
,,,,,,,
Fr,21/06/2024,801.25,1086.93,3507.81,121.341k,13.2,345.0679
Th,20/06/2024,804.35,1095.76,3519.68,120.446k,13.28,345.6205
We,19/06/2024,805.13,1095.27,3523.66,120.261k,12.48,345.564
Tu,18/06/2024,803.91,1081.81,3522.68,119.63k,12.3,345.564
Mo,17/06/2024,800.37,1074.2,3508.25,119.138k,12.75,344.2044
,,,,,,,
Fr,14/06/2024,797.26,1076.89,3492.05,119.662k,12.66,344.5695
Th,13/06/2024,799.7,1075.54,3504.48,119.568k,11.94,344.302
We,12/06/2024,801.6,1068.55,3516.3,119.936k,12.04,342.8554
Tu,11/06/2024,793.93,1065.7,3479.94,121.635k,12.85,342.5099
Mo,10/06/2024,794.75,1070.33,3482.22,120.76k,12.74,341.5474
,,,,,,,
Fr,07/06/2024,794.24,1073.14,3478.7,120.767k,12.22,341.9406
Th,06/06/2024,796.54,1073.26,3489.89,122.899k,12.58,344.6591
We,05/06/2024,794.42,1062.79,3483.4,121.407k,12.63,344.9481
Tu,04/06/2024,787.51,1051.96,3453.71,121.802k,13.16,344.1725
Mo,03/06/2024,788.77,1069.31,3453.44,122.032k,13.11,343.1424
,,,,,,,
Fr,31/05/2024,785.54,1048.96,3445.17,122.098k,12.92,341.6006
Th,30/05/2024,781.12,1058.08,3420.32,,14.47,340.3688
We,29/05/2024,784.16,1072.11,3430.01,122.707k,14.28,339.0112
Tu,28/05/2024,792.45,1088.01,3464.61,123.78k,12.92,339.8235
Mo,27/05/2024,793.35,1090.32,3468.13,124.496k,12.36,340.4836
,,,,,,,
Fr,24/05/2024,791.57,1082.98,3462.13,124.306k,11.93,340.4836
Th,23/05/2024,788.97,1091.37,3446.43,124.729k,12.77,340.233
We,22/05/2024,793.19,1095.29,3465.55,125.65k,12.29,341.633
Tu,21/05/2024,795.98,1093.38,3479.84,127.412k,11.86,341.8716
Mo,20/05/2024,796.05,1101.91,3477.07,127.751k,12.15,341.0706
,,,,,,,
Fr,17/05/2024,794.96,1099.79,3472.52,128.151k,11.99,341.0835
Th,16/05/2024,794.08,1098.56,3468.71,128.284k,12.42,341.5468
We,15/05/2024,793.77,1084.65,3472.26,128.028k,12.45,342.0377
